Date,Open,High,Low,Close,Volume
2007-09-07,96900,97000,92300,94600,523687
2007-09-10,92700,93000,90200,91000,581192
2007-09-11,91800,93800,91100,92000,294608
2007-09-12,92500,92900,90200,90500,250727
2007-09-13,91300,93100,90700,92500,590397
2007-09-14,92500,93300,91400,92000,296169
2007-09-17,91500,92500,90000,91500,272049
2007-09-18,92000,92000,89000,89000,297216
2007-09-19,91700,94400,91200,94000,547594
2007-09-20,94000,94100,90900,93800,505485
2007-09-21,92800,93600,91000,93600,436580
2007-09-27,94300,96700,94300,96200,598793
2007-09-28,96500,97500,95700,97100,338179
2007-10-01,97000,98000,96300,97400,192811
2007-10-02,98000,99100,97600,98200,380475
2007-10-04,98100,98100,92700,93000,952037
2007-10-05,93300,93700,91100,93600,453920
2007-10-08,94400,94400,90800,91900,620612
2007-10-09,90600,91800,89900,90800,395912
2007-10-10,91400,92700,90100,90300,485178
2007-10-11,89900,90700,86600,88400,1250000
2007-10-12,87500,87900,83000,84500,1730021
2007-10-15,85300,85400,82200,83600,981561
2007-10-16,83200,84400,81100,82700,834751
2007-10-17,81700,83400,80400,83400,618371
2007-10-18,84900,89800,84800,88200,1760179
2007-10-19,88300,88300,84500,87000,740216
2007-10-22,84000,84300,81700,83500,885790
2007-10-23,83900,84300,81600,82500,595209
2007-10-24,82900,83000,80500,81900,571804
2007-10-25,81400,82700,79100,82000,968584
2007-10-26,83500,83900,81600,82100,713832
2007-10-29,83000,90100,82700,88100,2240005
2007-10-30,89700,92200,89200,90500,1368329
2007-10-31,90500,91700,88900,89900,522622
2007-11-01,90500,91100,86900,89100,423174
2007-11-02,87100,87100,85000,85400,782451
2007-11-05,86000,86000,83600,85000,316005
2007-11-06,85100,87500,85100,86100,423559
2007-11-07,87300,90100,87200,87200,633148
2007-11-08,86200,86600,84300,85800,604611
2007-11-09,85200,86100,83400,84800,519013
2007-11-12,83800,84000,81600,83800,411386
2007-11-13,82700,84800,82700,83900,299796
2007-11-14,85300,86700,84600,84600,378465
2007-11-15,85400,89000,84700,87500,1117557
2007-11-16,88000,89300,87000,88100,682691
2007-11-19,88800,89400,86600,87500,288019
2007-11-20,86300,86500,83700,85600,568450
2007-11-21,84800,85000,81900,82700,672554
2007-11-22,81100,84900,81100,83700,411149
2007-11-23,83700,86500,83700,85000,488775
2007-11-26,85200,86300,84900,85200,379328
2007-11-27,84900,87200,83000,85600,377097
2007-11-28,85800,86800,83800,84900,447927
2007-11-29,85800,88100,85600,86200,503074
2007-11-30,86500,87700,86000,86200,249566
2007-12-03,85400,86000,83500,84600,535645
2007-12-04,84500,85400,83500,84800,315736
2007-12-05,84800,87400,84800,85600,442936
2007-12-06,87000,89100,87000,87600,558101
2007-12-07,88600,89600,87700,88700,370600
2007-12-10,89400,90600,88700,90000,604593
2007-12-11,90700,90700,88500,89900,276687
2007-12-12,89000,89700,87800,89400,287355
2007-12-13,89900,91900,88200,90500,586691
2007-12-14,89800,90800,87900,88900,290541
2007-12-17,88500,89400,87100,88100,226701
2007-12-18,88100,89500,87800,88300,329493
2007-12-20,88700,88700,86200,86500,391493
2007-12-21,85900,86900,84900,86000,483411
2007-12-24,86400,88000,86300,87200,331346
2007-12-26,87600,88000,86800,87000,335141
2007-12-27,87500,88300,86700,87200,202823
2007-12-28,87000,88100,86200,87200,232599
2008-01-02,86600,87000,84100,84600,583683
2008-01-03,84000,84900,83500,84600,201599
2008-01-04,84600,85400,83300,84300,223130
2008-01-07,82900,83700,81900,83200,278368
2008-01-08,82100,84600,82100,82900,210410
2008-01-09,82100,84800,81500,84000,324136
2008-01-10,83700,84700,83200,83400,379757
2008-01-11,83700,84500,80700,81500,650489
2008-01-14,80000,80700,78900,79600,608356
2008-01-15,79600,79800,76300,77400,782632
2008-01-16,76500,77200,75100,76500,643841
